id,doctor_id,specialization
1,1,Cardiology
2,1,Dermatology
3,2,Neurology
4,2,Cardiology
5,3,Neurology
6,4,Orthopedics
7,5,Neurology
8,6,Dermatology
9,6,Orthopedics
10,7,Neurology
11,7,Orthopedics
12,8,Orthopedics
13,8,Dermatology
14,9,Cardiology
15,9,Pediatrics
16,10,Pediatrics
17,11,Neurology
18,11,Cardiology
19,12,Pediatrics
20,13,Pediatrics
21,14,Neurology
22,15,Orthopedics
23,16,Dermatology
24,16,Pediatrics
25,17,Cardiology
26,18,Orthopedics
27,19,Dermatology
28,19,Neurology
29,20,Dermatology
30,21,Dermatology
31,22,Pediatrics
32,22,Orthopedics
33,23,Orthopedics
34,23,Neurology
35,24,Orthopedics
36,25,Orthopedics
37,25,Cardiology
38,26,Dermatology
39,26,Cardiology
40,27,Dermatology
41,28,Neurology
42,28,Pediatrics
43,29,Dermatology
44,29,Pediatrics
45,30,Orthopedics
46,31,Neurology
47,31,Pediatrics
48,32,Cardiology
49,32,Dermatology
50,33,Pediatrics
51,33,Orthopedics
52,34,Dermatology
53,34,Neurology
54,35,Cardiology
55,35,Pediatrics
56,36,Dermatology
57,37,Neurology
58,38,Orthopedics
59,39,Cardiology
60,40,Pediatrics
61,41,Cardiology
62,42,Cardiology
63,42,Orthopedics
64,43,Orthopedics
65,43,Neurology
66,44,Dermatology
67,45,Cardiology
68,46,Dermatology
69,46,Orthopedics
70,47,Pediatrics
71,47,Cardiology
72,48,Neurology
73,48,Cardiology
74,49,Orthopedics
75,50,Dermatology
76,50,Pediatrics
77,51,Cardiology
78,52,Cardiology
79,52,Orthopedics
80,53,Dermatology
81,54,Pediatrics
82,55,Dermatology
83,55,Cardiology
84,56,Orthopedics
85,57,Dermatology
86,58,Neurology
87,58,Orthopedics
88,59,Neurology
89,60,Neurology
90,60,Orthopedics
91,61,Cardiology
92,62,Pediatrics
93,62,Neurology
94,63,Dermatology
95,64,Cardiology
96,64,Orthopedics
97,65,Orthopedics
98,66,Pediatrics
99,66,Orthopedics
100,67,Neurology
101,68,Neurology
102,68,Dermatology
103,69,Orthopedics
104,69,Pediatrics
105,70,Cardiology
106,71,Orthopedics
107,71,Neurology
108,72,Dermatology
109,72,Pediatrics
110,73,Cardiology
111,74,Orthopedics
112,75,Dermatology
113,75,Cardiology
114,76,Orthopedics
115,76,Cardiology
116,77,Pediatrics
117,78,Dermatology
118,78,Cardiology
119,79,Dermatology
120,79,Orthopedics
121,80,Neurology
122,80,Dermatology
123,81,Cardiology
124,82,Neurology
125,82,Orthopedics
126,83,Cardiology
127,84,Neurology
128,85,Neurology
129,85,Dermatology
130,86,Neurology
131,87,Dermatology
132,87,Cardiology
133,88,Pediatrics
134,88,Orthopedics
135,89,Pediatrics
136,90,Dermatology
137,91,Cardiology
138,92,Neurology
139,93,Pediatrics
140,93,Dermatology
141,94,Cardiology
142,95,Cardiology
143,96,Neurology
144,97,Neurology
145,98,Neurology
146,98,Dermatology
147,99,Cardiology
148,99,Orthopedics
149,100,Neurology
150,100,Orthopedics
151,101,Pediatrics
152,102,Neurology
153,102,Pediatrics
154,103,Dermatology
155,103,Cardiology
156,104,Pediatrics
157,104,Orthopedics
158,105,Cardiology
159,105,Orthopedics
160,106,Orthopedics
161,106,Neurology
162,107,Pediatrics
163,107,Dermatology
164,108,Dermatology
165,109,Pediatrics
